SUBJECT,SUBJECT_DESC,CRSE_TITLE,CRSE_NUMB,COURSE_DESC,PREREQ,CREDIT_HOURS,DISTRIBUTION,,
BU,Business,Personal Style,207,"Students will cover the basics of fashion and style.  Students will expand their knowledge in wardrobe planning by utilizing their talents with guidelines outlined in the textbook and from lectures.  Course will prepare students for careers in imaging consulting/personal styling. Contact Hours: (3,0)",BU 151,3,Business/Computer,,
BU,Business,Intermediate Accounting I,214,"Intermediate Accounting I examines the conceptual framework of financial accounting theory.  Accounting for assets, earnings, and cash flow is analyzed.  Financial statement preparation and disclosure is emphasized.  Prerequisite: BU 115. Note: Offered fall semesters only. Contact Hours: (4,0)",BU 115,4,Business/Computer,,
BU,Business,Cost Accounting,215,"This course explores cost classification and flow in manufacturing systems under job costing, process costing and standard costing. Emphasis is on cost allocations and analyses in budget and statement preparation. Prerequisite: BU 115. NOTE: Offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Fundamentals of Income Tax,216,"This course provides an introduction to the internal revenue code and other sources of current tax law for purposes of tax research, planning and compliance.  Preparation of tax returns for individuals and small businesses is emphasized. Income, deductions, exclusions, allowances, exemptions and credits are explored. NOTE: Offered fall semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Money & Banking,217,"Money and Banking examines the economic effects of financial intermediation. The structure and function of the Federal Reserve System is emphasized.  Fiscal Policy is analyzed.  Foreign trade and financial markets are discussed.  Basic money management skills are addressed.  Note: Offered fall semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Public Relations,221,"Public Relations introduces students to the principles and practices of building good public relations between industry and employees, stockholders, consumers, suppliers and other primary publics. The course emphasizes modern media and the growth and development of public relations as a vital managerial operation. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Intermediate Accounting II,224,"Intermediate Accounting II examines corporate earnings and long term debt.  Accounting for bonds, leases, pensions, taxes, and earnings per share are emphasized.  Contingent liabilities are discussed.  Prerequisite: BU 115. Note: Offered spring semester only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Customer Service Mgmt,225,"Customer relations techniques and principles in the professional business environment will be studied.  Current approaches to appropriate customer and product service will be reviewed. Service principles in sales, and customer service skills will be stressed. NOTE: Offered fall semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Principles of Management,232,"Principles of Management examines basic management functions and objectives. Emphasis is placed on using current management theory in making business decisions in a rational and systematic manner. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Bus Applications & Strategies,233,"This course analyzes actual business situations. Students apply several management strategies in problem identification and solutions. Decision making techniques are utilized. Prerequisite: Either BU 111 or BU 232, or HM 112 or HM 212. NOTE: Offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Intro to Entrepreneurship,238,"Introduction to Entrepreneurship profiles the role of entrepreneurs in today's economy. Entrepreneurial skills needed to organize and manage a small business are emphasized. NOTE: Offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Small Bus Mgmt Capstone,239,"This course is designed for students who are planning to own and operate a small business. Successful completion of this course will enable students to develop a comprehensive business strategy to market a product or service in an entrepreneurial environment.  Prerequisite: BU 111. Co-requisite: BU 238. NOTE: Offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Fashion Show Production,240,"Application of fashion buying and merchandising techniques in actual situations is explored. Students apply theoretical and practical materials in the actual planning and presentation of a full-scale fashion show. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Marketing Management,245,"This course explores central management principles and activities related to successful marketing of goods and services. The emphasis is on company strategy, marketing policy, organization, implementation and control. Prerequisite: BU 141 or permission of instructor. NOTE: Offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Business Ethics,250,"Students will explore and develop an awareness of the challenges that businesses encounter when creating and implementing an ethical decision making process. A review of business web site ethical declarations and the review of current examples of business ethical practices will help to create the student's foundation in building his/her ethical business decision making process. Prerequisite: BU 111  NOTE: Offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Human Resource Management,251,"Principles and practices of human resource administration are examined. The course addresses objectives and functions of the human resource department, managerial practices, criteria of worker selection and placement, job evaluation, benefits, health and safety issues, supervisory and leadership skills and group behavior patterns. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,"Compensation, Benefits & Law",252,"This course is designed for students who are majoring in Human Resource Management or for students who need a business elective and want some understanding of the topic. An emphasis is on various types of compensation and salary structure programs in addition to mandatory and discretionary employee benefits.  Prerequisite:  BU 251. NOTE: Offered fall semesters only. Contact Hours: (3,0)",BU 251,3,Business/Computer,,
BU,Business,Human Res Selection Perf Eval,253,"This course is designed for students majoring in Human Resource Management. The subject matter includes assessment and design of staffing, placement, and evaluation procedures. Attitudes and abilities of personnel as they relate to job requirements are studied. Prerequisite: BU 251. NOTE: Offered Spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Organizational Behavior,254,"This course is designed as an introduction to human behavior in organizations. The focus is on improving analytical, decision-making, interpersonal and leadership skills within the organization. Students will also focus on theories and research findings on the topic of change within the business environment. NOTE: Offered fall semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Fashion Merchandising,257,"This course covers terminology and fundamentals of the fashion industry and examines the development of merchandise from concept to consumer.  The course traces the history of the industry, analyzing the impact that politics, art, media, the economy and society have on fashion, as well as the contributions of historical and modern fashion innovators.  The fashion cycle and its relation to consumers demand is explored as a means of learning how fashion trends evolve.  Emphasis is placed on the importance of the industry to the global economy, and the future of fashion is considered.  As many of these fundamentals are covered in the other preliminary Fashion Buying and Merchandising courses, this course is intended to be a capstone course for the program.  Note: offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
BU,Business,Corporate Finance,265,"This course provides an introduction to basic financial management. Financial analysis and planning, working capital management and capital budgeting are emphasized. Financial markets and debt and equity financing are discussed. Prerequisite: BU 115 or permission of instructor. NOTE: Offered spring semesters only. Contact Hours: (3,0)",,3,Business/Computer,,
CJ,Criminal Justice,Intro Criminal Justice,120,"This course is designed to provide a descriptive overview of the adult and juvenile justice systems in general, from the commission of crimes and offenses through sentencing and appeal procedures.  Historical and philosophical development of law, crime, and punishment, careers, and public policy are explored, as well as individual rights in a democratic society, legal definitions of various crimes, political constraints and reform proposals. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Intro Economic Crime Invest,122,"This course is designed to educate students about the nature, origin and permutations of fraud and high technology-based or assisted criminal activity (a.k.a. computer crime). Students will be provided with a foundation in the legal principles of information security and specific investigative methods and techniques which are utilized by practitioners to investigate fraud and high technology crime in modern law enforcement and/or business settings. Focus on legal foundations will be applicable, including criminal and civil federal laws contained in the United States Code as well as criminal and civil laws contained in the codes of New York State. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Criminal Substantive Law,123,"This course is designed to introduce students to the history, philosophy, scope, purpose, definition and classification of modern criminal law and the relationship between the constitutional rights of the individual and the protection of society. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Criminal Procedure Law,124,"This course is designed to provide the student with the opportunity to analyze the rules of evidence and criminal procedural laws and the laws of arrest, search and seizure. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Intro to Law Enforcement,125,"This course is designed to familiarize the student with the many different types of organizations which are involved in law enforcement activities at the local, state and national level. Analysis of traditional police functions and law enforcement procedures are included. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Issues in Law Enforcement,126,"This course examines the functions of police officers and the pressures under which they work to protect individual freedoms. Interpretation of laws is stressed, with particular attention to the conflict between what police feel they need to perform their duties and protection of personal rights. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Intro to Crime Analy & Cr Map,127,"This course is designed to explore the history of crime analysis and crime mapping in criminal justice organizations.  It will cover the functions and processes of crime analysis, the methods used to identify crime patterns, develop statistical techniques used in analysis, and discuss pin mapping as well as computer mapping of crime and the use of Geographical Information Systems in the criminal justice arena.  Laboratory exercises will be utilized to further reinforce the concepts learned in the classroom, and will afford the student the opportunity to gain the skills required to perform the various statistical analyses used in crime analysis. Contact Hours: (2,2)",,3,Natural/Social Science,,
CJ,Criminal Justice,Intelligence Analysis,130,"This course is designed to introduce students to the process of intelligence analysis.  This process defines problems, data collection and storage, data analysis and dissemination for action by appropriate personnel.  Students will analyze relationships between individuals, between individuals and organizations, and between organizations.  Students will also be exposed to analytical problem-solving and research ability in a criminal justice environment. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Probation & Parole,131,"This course is designed to introduce students to the fields of probation and parole. The course will examine a variety of community-based correctional practices and strive to understand the roles of individuals who work within community programming. Most importantly, students will begin to gain an understanding of those individuals who receive the services of these fields. The ultimate goal of this course is for students to develop their ability to critically examine a diverse range of correctional programming. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Police Organization & Mgt,141,"This course is designed to familiarize the student with the history of law enforcement management and to examine traditional managerial models.  Theoretical and practical concepts of policing and police management are analyzed. The roles of police officers in society and the duties of police administrators are discussed. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Criminal Investigation,142,"This course is designed to develop a general understanding of the science of criminal inquiry and to build on this knowledge by detailing the elements of crime scene investigation in specific areas of criminal activity. Major aspects of the criminal investigation function of police are included, from the preliminary investigation to the preparation of the case for review by the prosecutor. The course consists of lecture and applied laboratory exercises. Contact Hours: (2,2)",,3,Natural/Social Science,,
CJ,Criminal Justice,Criminal Invest for Police Off,143,"This course is designed to develop a general understanding of the science of criminal inquiry and to build on this knowledge by detailing the elements of investigation in specific areas of criminal activity.  Major aspects of the criminal investigation function of police are included, from the preliminary investigation to the preparation of a case for review by a prosecutor.  This course consists of lecture and applied laboratory exercises. This course will meet the requirements for Police Officer Certification as Crime Scene and Evidence Specialist. Contact Hours: (2,2)",,3,Natural/Social Science,,
CJ,Criminal Justice,Intro Corrections,151,"This course examines the history of corrections throughout the world. The role of penitentiaries, prisons, jails and grass roots organizations is explored, along with the concepts of punishment, rehabilitation, retribution, restitution and transformation of adult and juvenile offenders. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Issues in Corrections,152,"This course is designed to introduce students to a variety of concepts and policy issues that are critical to the field of corrections. The course is designed to develop the student's ability to critically examine a diverse range of topics. Students will discuss such issues as the purpose of incarceration, experiences of living and working within prisons, alternative systems of corrections, international correctional methodologies, as well as the impact of gender, race and class issues upon our correctional system. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Int to Crim Invest An-Profilin,200,"This course is designed to introduce the concept of identifying trends and characteristics of the criminal activity of repeat or serial offenders and the use of this information to predict when and where these offenders are likely to strike next.  This course also identifies the behavioral and personal characteristics of serial offenders and examines the methodologies and techniques of profile construction and analysis as well as the ethics and norms of the field.  The course will focus on select types of violent crimes, including homicide and sexual assaults, and on those persons who commit these types of crimes. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Intro Private Security,210,"This course is designed to familiarize students with a survey of the historical and philosophical background of modern private security. There is an emphasis on the principles of security, risk management and loss prevention in industrial, commercial, retail and government settings. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Criminal Evidence,212,"This course is designed to familiarize students with the laws and rules which govern the admissibility of evidence in a criminal trial. Among the topics to be covered are the background and sources of evidentiary rules, relevance and materiality, the distinction between direct and circumstantial evidence, the hearsay rule and its exceptions, character evidence, privileges, examination and competency of witnesses, the scope of direct and cross examination, impeachment, scientific and physical evidence. Prerequisite: CJ 123, CJ 124, or Permission from Instructor. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Intro to Information Assurance,230,"This course is designed to address the fundamental principles of information security. Major aspects include issues associated with protecting information assets, and determining appropriate levels of protection and response to security incidents. There is an emphasis on the technical processes required to build a consistent, reasonable information security system, with appropriate intrusion detection and reporting procedures. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Fraud Examination,240,"Fraud examination studies the principles and methodology of fraud detection and deterrence. The course includes such topics as skimming, cash larceny, check tampering, register disbursement schemes, billing schemes, payroll and expense reimbursement schemes, non-cash misappropriations, corruption, accounting principles and fraud, fraudulent financial statements and interviewing witnesses. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Understanding & Mng Cybercrime,241,"The purpose of this course is to explore the evolving crime problem rooted in decades of technology development, criminal adoption of computers and other forms of information technology for illicit purposes, and the labels for social constructs of crimes involving theft, manipulation, degradation or destruction of data. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Intro to Information Security,243,"This course is designed to address the fundamental principles of information security. Major aspects include issues associated with basic networking and operating system fundamentals, protection of information assets, and determining appropriate levels of protection and response to security incidents. There is an emphasis on the technical processes required to build a consistent, reasonable information security system as well as policy creation and implementation. Contact Hours: (2,2)",,3,Natural/Social Science,,
CJ,Criminal Justice,Cyber Intell/Counter Intell,244,"This course is designed to introduce students to the field of intelligence/counterintelligence. Major aspects of the course will address the role, purpose, and history of intelligence analysis; the use of intelligence to carry-out national security, law enforcement and cybersecurity objectives; the roles of intelligence and counterintelligence in network security; the role of intelligence collection to support decision making; the role of counterintelligence as a means of deception in law enforcement and criminal behavior; and the role of intelligence in creating a security program. This course will tie intelligence collection and counterintelligence to current cyber threats. Contact Hours: (2,2)",,3,Natural/Social Science,,
CJ,Criminal Justice,CrimInvAnlysis:PrflngSexPrdtrs,250,"This course is designed as a continuation of the Introduction to Criminal Investigative Analysis course focusing on violent crimes against children, the elderly, and women.  Aberrant sexual behaviors and repeat sexual offenders will be explored as well as the role of fantasy in the execution of these crimes.  Intervention strategies will also be discussed and analyzed. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Computer Forensics & Invest,261,"Computer Forensics and Investigations presents methods to properly conduct a computer forensics investigation, beginning with a discussion of ethics then focusing on the process of identifying, collecting and analyzing computer evidence. Students will receive a working knowledge of hardware and operating systems (OSS) to maximize their success on projects and exercises. Contact Hours: (2,2)",,3,Natural/Social Science,,
CJ,Criminal Justice,Adv Computer Forensics & Inves,262,"This course will examine the computer forensic analysis process and related criminal investigation methods ranging from searching, recovering, imaging, analysis and preservation of evidence on a variety of storage media.  The course contents will be supplemented with hands-on exercises, case studies, and projects.  Advanced topics such as disk geometry and analysis of non-Windows based systems. Prerequisite: CJ 261 with C or better. Contact Hours: (2,2)",CJ 261,3,Natural/Social Science,,
CJ,Criminal Justice,Criminal Justice Practicum,271,"This course is designed to expose students to practical experience in an agency or department in the Criminal Justice System. Prerequisites: CJ 120, CJ 123, CJ 124, CJ 210, HU 150 and permission of instructor. Contact Hours: (3,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Pract Private Security,272,"This course is designed to expose students to practical experience in a corporate or private security setting. Prerequisites: CJ 120, CJ 123, CJ 124, CJ 210, HU 150 and permission of instructor. Contact Hours: (0,0)",,3,Natural/Social Science,,
CJ,Criminal Justice,Netwrk Defen & Countermeasures,273,"The purpose of this course is to explore in-depth network defense concepts and techniques. This course will examine theoretical concepts that make the world of networking unique. This course will also adopt a practical approach when examining network defense techniques and includes hands-on practical applications. Along with examining different network defense strategies, this course will explore the fields of steganography and malware commonly utilized in cybercrime. Contact Hours: (2,2)",,3,Natural/Social Science,,
ED,Education,Intro Early Childhood Ed,100,"This course will explore the relationship between the physical environment and the young child, from birth through age eight. On the basis of both historical and current theories of child development, the student will learn how to select and design developmentally appropriate programs that are supportive and inclusive of all children's needs. Twelve hours of class observation in early childhood settings is required. Contact Hours: (3,0)",,3,Humanities,,
ED,Education,Obs/Assessmnt -Young Children,101,"This course prepares students to use systematic observations, documentation, and other classroom based assessment techniques to understand young children's growth and development.  Students will use the information gained to plan curriculum that is responsive to and supportive of children?s learning and development from preschool through second grade. Observation and assessment will focus on physical, cognitive, language, and social/emotional development. Students will compile various assessments in a study of one child's development over the course of the semester.  Fifteen hours of preservice contacts are required to complete assignments throughout the course.  Observation site is located at the Herkimer College Childcare Center, an NAEYC accredited program, or another approved program. Students must provide their own transportation to off-campus locations. Contact Hours: (3,0)",,3,Humanities,,
ED,Education,Curr & Teaching in ECE,200,"This course is designed to develop the student's ability to creatively design a developmentally-appropriate (emergent) curriculum that is supportive of the whole child, from birth through age eight. The student will also learn how to utilize teaching methodologies to best meet each child's individual learning style.  Prerequisite: ED 100 or permission of instructor. Contact Hours: (3,0)",,3,Humanities,,
ED,Education,Infant & Toddler Curr Devel,205,"This course is intended for early childhood teacher candidates to develop appropriate curriculum that will promote participation and progress of infants and toddlers in the Physical, Cognitive, Language and Literacy Developmental areas.  The course will examine the influence of family, culture and developmentally appropriate curriculum and environments for infant and toddler group care.   Students will make arrangements for the required 15 hours of field observations which will include assessment and evaluation of infant and toddler development. Prerequisite: ED 100 completed with a grade of C or better. Contact Hours: (3,0)",,3,Humanities,,
ED,Education,Social Foundations of Educ,210,"This course offers an overview of the profession of teaching, with a focus on some or all of the following: social issues affecting schools and teachers, education in a multicultural society, the roles and the job of teachers, the history of education, the organization of elementary and secondary schools, the role of government in financing education, philosophies of education, history of American education and emerging trends and reforms in education. Writing is an integral part of the course.  Twenty hours of observation is also required. Contact Hours: (3,0)",,3,Humanities,,
ED,Education,Educating the Exceptional,215,"This course is intended for teacher and paraprofessional candidates to develop the necessary skills to provide (individualizing) instruction that will promote participation and progress of students with disabilities in the general education curriculum.  Characteristics of various disabilities along with basic educational services provided to individuals with disabilities according to special education process and State and Federal special education laws and regulations will be presented.   Effective teaching and paraprofessional practices and application of positive behavioral supports and interventions to address student & classroom management needs will be examined.  Fifteen hours of preservice contacts are required to complete assignments throughout the course.  Students must provide their own transportation to off-campus locations.Course Pre-requisite: Students must have current (within one year) TB test results. Contact Hours: (2,2)",,3,Humanities,,
ED,Education,Practicum I - Early Childhood,221,"This pre-service teaching experience is designed to provide the student with opportunities to observe and participate under the supervision of qualified professionals in diverse programs serving young children.  Weekly class seminars will be held to instruct students in the art of lesson plan design and behavior management.  Prior to enrollment, you will need to have a TB test, and have completed a Red Cross CPR certification. PREREQUISITES:  ED 100, ED 200, HE 128 Contact Hours: (1,4)",ED 100,3,Humanities,,
ED,Education,Practicum II-Early Childhood,222,"This pre-service teaching experience is designed to provide the student with opportunities to observe and participate under the supervision of qualified professionals in diverse programs serving young children.  Weekly class seminars will be held to instruct students in the areas of child assessment, parent-teacher conferences, and job preparation.   Prior to enrollment, you will need to have a TB test, and have completed a Red Cross CPR certification.PREREQUISITES:  ED 100, ED 200, ED 221, HE 128 Contact Hours: (1,4)",,3,Humanities,,
ED,Education,Child Growth & Development,250,"This course provides an opportunity to study human development from the prenatal period through early adolescence, including physical, cognitive, social, and emotional aspects.  Theoretical perspectives will be examined & applied to the developing child.  Fifteen hours of preservice contacts are required to complete assignments throughout the course.  Observation site is located at the Herkimer College Childcare Center, an NAEYC accredited program, or another approved program. Students must provide their own transportation to off-campus locations. Contact Hours: (3,0)",,3,Humanities,,
EM,Emergency Medical Tech,Emergency Medical Tech-Basic,101,"This course is designed to provide the basic education needed by Emergency Medical Technicians to provide patient care in the pre-hospital setting.  The course covers all techniques of emergency medical care presently considered within the responsibilities of the emergency medical technician as well as all operational aspects of the job which the student will be expected to perform.  Emphasis is placed on recognition of symptoms of illnesses and injuries and application of proper procedures of emergency care.  Demonstration, practice, and clinical observation are carefully integrated into the didactic portion of the class. Contact Hours: (5,3)",,6,Allied Health & Phys Education,,
EM,Emergency Medical Tech,Report Writing/Healthcare Prof,102,"This course is designed to introduce healthcare providers to professional medical documentation practices.  Documentation is an important part of the patient care process.  The written report will become a part of the patient's permanent hospital record and in combination with other healthcare professional reports become a valuable source for research on trends in emergency medical care and a guide for continuing education and quality improvement.  This medical documentation may be used as evidence in a legal case. Contact Hours: (3,0)",,3,Allied Health & Phys Education,,
EM,Emergency Medical Tech,EMT-Basic Fieldwork,103,"This course is offered to EMT-Basics in order to gain sufficient field experience to begin the paramedic program courses. This course will provide the student with supervised riding time as an EMT-Basic as well as three case review sessions to discuss what the students have been exposed to in the field experience. Field rotations place the student in the role of the EMT-Basic on actual emergency calls and expect them to integrate history taking, physical exam and cognitive knowledge learned in their EMT class into the total management of the patient. The student's schedule is developed based upon the Basic Life Support unit assignment location and shift times, and preceptor availability. The student must maintain records of all patient contacts and will be required to submit documentation of all their activities and feedback they receive from their preceptor to the Faxton-St. Luke's Healthcare Instructors prior to completion of this course.  NOTE: Offered spring semesters only. Contact Hours: (0,2)",,1,Allied Health & Phys Education,,
EM,Emergency Medical Tech,EMT - Paramedic I,201,"Paramedic candidates will participate in classroom lecture, skills lab(s), and clinical training and education that prepares them to provide medically competent and correct advanced life support treatment of the critically ill and injured, using good medical judgment.  Prerequisite:  Current Basic EMT certification.  Note:  Offered Fall semesters only. Contact Hours: (3,12)", ,9,Allied Health & Phys Education,,
EM,Emergency Medical Tech,EMT - Paramedic II,202,"During and after Paramedic I the paramedic candidate will participate in a supervised field internship program where continued instruction and on the job practical application of the knowledge and skills attained in EM 201 are practiced and evaluated under the guidance of Faxton-St. Luke's EMS Education Program field preceptors.  Candidates will also participate in various clinical rotations as required by the program.  Co/prerequisite: EM 201.  NOTE: Offered fall semesters only. Contact Hours: (3,6)",EM 201,6,Allied Health & Phys Education,,
EM,Emergency Medical Tech,EMT - Paramedic III,203,"Paramedic candidates will participate in continued classroom lecture, skills lab(s), and clinical training and education that prepares them to provide medically competent and correct advanced life support treatment of the critically ill and injured, using good medical judgment to the paramedic standard of care.  This course includes ACLS, PALS and PHTLS certifications.  Prerequisites:  EM 201 and EM 202.  Note:  Offered Spring semesters only. Contact Hours: (8,2)",,9,Allied Health & Phys Education,,
